 [157.5936, 194.9184]
 [460.3393, 393.9841]
 [398.1313, 348.3648]
 [130.6368, 82.94402]
 [116.1216, 271.6416]
 [114.048, 250.9056]
 [333.8496, 393.9841]
 [599.2705, 437.5297]
 [564.0193, 433.3824]
 [588.9025, 391.9105]
 [327.6288, 221.8752]
 [325.5552, 209.4336]
 [39.39841, 132.7104]
 [39.39841, 99.53281]
 [445.8241, 437.5297]
 [449.9713, 410.5728]
 [593.0497, 80.87041]
 [165.888, 337.9969]
 [126.4896, 319.3344]
 [319.3344, 362.8801]
 [252.9792, 350.4384]
 [70.50241, 242.6112]
 [51.84001, 246.7584]
 [221.8752, 107.8272]
 [586.8289, 178.3296]
 [599.2705, 138.9312]
 [329.7025, 70.50241]
 [443.7505, 335.9232]
 [406.4257, 337.9969]
 [250.9056, 134.784]
 [294.4512, 95.38561]
 [284.0833, 99.53281]
 [259.2, 153.4464]
 [439.6033, 118.1952]
 [452.0449, 103.68]
 [464.4865, 232.2432]
 [468.6337, 118.1952]
 [512.1793, 85.01761]
 [472.7809, 107.8272]
 [99.53281, 180.4032]
 [47.69281, 180.4032]
 [89.16481, 157.5936]
 [155.52, 116.1216]
 [141.0048, 120.2688]
 [143.0784, 103.68]
 [138.9312, 85.01761]
 [481.0753, 323.4817]
 [485.2225, 306.8929]
 [447.8977, 223.9488]
 [408.4993, 234.3168]
 [449.9713, 201.1392]
 [91.23841, 78.79681]
 [51.84001, 78.79681]
 [91.23841, 39.39841]
 [230.1696, 68.42881]
 [236.3904, 47.69281]
 [590.9761, 132.7104]
 [568.1665, 111.9744]
 [578.5345, 91.23841]
 [557.7985, 107.8272]
 [331.7761, 174.1824]
 [371.1744, 159.6672]
 [323.4817, 145.152]
 [335.9232, 269.568]
 [373.248, 244.6848]
 [342.144, 259.2]
 [306.8929, 82.94402]
 [315.1873, 58.06081]
 [259.2, 41.47201]
 [240.5376, 217.728]
 [184.5504, 217.728]
 [223.9488, 203.2128]
 [180.4032, 190.7712]
 [497.6641, 267.4944]
 [501.8113, 257.1264]
 [483.1489, 248.832]
 [89.16481, 236.3904]
 [192.8448, 163.8144]
 [226.0224, 147.2256]
 [153.4464, 180.4032]
 [141.0048, 165.888]
 [157.5936, 161.7408]
 [120.2688, 141.0048]
 [163.8144, 217.728]
 [114.048, 221.8752]
 [383.6161, 317.2608]
 [402.2784, 242.6112]
 [103.68, 335.9232]
 [145.152, 437.5297]
 [155.52, 348.3648]
 [93.31201, 367.0273]
 [340.0704, 89.16481]
 [416.7937, 74.64961]
 [481.0753, 68.42881]
 [489.3697, 159.6672]
 [265.4208, 313.1136]
 [74.64961, 241.3671]
 [57.23137, 241.3671]
 [84.60289, 211.5072]
 [79.62625, 199.0656]
 [166.7175, 209.0189]
 [146.8109, 213.9955]
 [174.1824, 201.554]
 [159.2525, 191.6007]
 [221.4605, 104.5095]
 [542.4539, 243.8554]
 [323.4817, 221.4605]
 [323.4817, 209.0189]
 [584.7553, 179.1591]
 [589.7319, 159.2525]
 [164.2291, 338.4116]
 [126.9043, 318.505]
 [258.7853, 154.2759]
 [403.1079, 241.3671]
 [442.921, 335.9232]
 [418.0378, 328.4583]
 [437.9444, 340.8999]
 [405.5962, 340.8999]
 [510.1057, 82.11457]
 [480.2458, 67.18465]
 [589.7319, 77.13793]
 [129.3927, 82.11457]
 [136.8576, 121.9277]
 [154.2759, 114.4627]
 [144.3226, 104.5095]
 [293.6218, 97.04449]
 [283.6685, 99.53281]
 [383.2013, 318.505]
 [360.8065, 306.0634]
 [330.9466, 293.6218]
 [465.3159, 116.9511]
 [472.7809, 109.4861]
 [465.3159, 231.4138]
 [97.04449, 181.6474]
 [49.76641, 179.1591]
 [89.57953, 159.2525]
 [457.851, 393.1546]
 [89.57953, 79.62625]
 [54.74305, 79.62625]
 [181.6474, 216.4839]
 [241.3671, 213.9955]
 [199.0656, 191.6007]
 [228.9255, 67.18465]
 [236.3904, 47.27809]
 [495.1758, 268.7386]
 [497.6641, 261.2737]
 [482.7342, 248.832]
 [335.9232, 268.7386]
 [375.7364, 243.8554]
 [340.8999, 261.2737]
 [370.7597, 159.2525]
 [323.4817, 146.8109]
 [338.4116, 89.57953]
 [345.8765, 64.69633]
 [477.7575, 325.97]
 [482.7342, 308.5517]
 [306.0634, 82.11457]
 [316.0167, 59.71969]
 [447.8977, 223.9488]
 [408.0845, 233.9021]
 [450.386, 201.554]
 [437.9444, 119.4394]
 [452.8743, 114.4627]
 [164.2291, 189.1124]
 [136.8576, 179.1591]
 [156.7642, 164.2291]
 [119.4394, 141.8343]
 [223.9488, 146.8109]
 [201.554, 156.7642]
 [587.2436, 134.3693]
 [577.2903, 92.06786]
 [534.9889, 97.04449]
 [89.57953, 236.3904]
 [67.18465, 238.8788]
 [159.2525, 218.9722]
 [114.4627, 221.4605]
 [333.4349, 395.6429]
 [589.7319, 390.6663]
 [587.2436, 365.7831]
 [415.5495, 74.64961]
 [457.851, 174.1824]
 [530.0122, 199.0656]
 [154.2759, 350.8532]
 [558.3791, 107.4954]
 [537.4772, 98.53749]
 [403.1079, 337.4163]
 [247.8367, 143.3273]
 [220.9629, 104.5095]
 [579.281, 179.1591]
 [429.9818, 137.3553]
 [432.9678, 119.4394]
 [110.4814, 80.62158]
 [56.73371, 80.62158]
 [507.6174, 83.60757]
 [513.5894, 71.66363]
 [483.7295, 68.67764]
 [343.3882, 262.7666]
 [220.9629, 74.64961]
 [226.9348, 68.67764]
 [370.2621, 158.2572]
 [334.4303, 158.2572]
 [337.4163, 89.57954]
 [328.4583, 71.66363]
 [119.4394, 143.3273]
 [152.2852, 113.4674]
 [143.3273, 101.5235]
 [477.7575, 325.4723]
 [483.7295, 307.5564]
 [152.2852, 191.103]
 [134.3693, 179.1591]
 [155.2712, 164.2292]
 [307.5564, 80.62158]
 [316.5144, 59.71969]
 [200.061, 191.103]
 [220.9629, 146.3132]
 [194.089, 164.2292]
 [492.6874, 268.7386]
 [516.5753, 250.8227]
 [483.7295, 247.8367]
 [113.4674, 220.9629]
 [89.57954, 203.047]
 [80.62158, 209.0189]
 [95.55151, 182.1451]
 [56.73371, 179.1591]
 [89.57954, 158.2572]
 [182.1451, 217.9769]
 [146.3132, 220.9629]
 [167.2151, 209.0189]
 [149.2992, 212.0049]
 [418.0378, 328.4583]
 [382.206, 319.5003]
 [394.15, 241.8647]
 [331.4443, 394.15]
 [322.4863, 364.2901]
 [579.281, 388.178]
 [456.8557, 394.15]
 [573.309, 373.2481]
 [471.7856, 340.4023]
 [74.64961, 241.8647]
 [265.7526, 298.5984]
 [304.5704, 277.6966]
 [164.2292, 340.4023]
 [289.6405, 406.0939]
 [298.5984, 373.2481]
 [325.4723, 143.3273]
 [415.0518, 74.64961]
 [468.7996, 110.4814]
 [576.295, 92.56552]
 [447.8977, 223.9488]
 [322.4863, 206.0329]
 [528.5193, 226.9348]
 [465.8136, 232.9068]
 [128.3973, 83.60757]
 [280.6826, 98.53749]
 [241.8647, 214.9909]
 [259.7807, 152.2852]
 [250.8227, 143.3273]
 [222.1573, 146.9104]
 [222.1573, 103.9123]
 [186.3254, 146.9104]
 [154.0768, 114.6618]
 [508.8118, 82.41318]
 [512.395, 71.66364]
 [483.7295, 68.08045]
 [222.1573, 85.99636]
 [229.3236, 68.08045]
 [222.1573, 75.24681]
 [143.3273, 96.7459]
 [136.1609, 78.82999]
 [240.0732, 157.66]
 [197.075, 164.8264]
 [293.8209, 93.16272]
 [308.1536, 78.82999]
 [494.4791, 268.7386]
 [515.9781, 250.8227]
 [483.7295, 247.2395]
 [369.0677, 157.66]
 [336.8191, 157.66]
 [476.5631, 329.6527]
 [476.5631, 308.1536]
 [336.8191, 89.57954]
 [329.6527, 75.24681]
 [85.99636, 193.4918]
 [103.9123, 161.2432]
 [89.57954, 157.66]
 [168.4095, 193.4918]
 [136.1609, 179.1591]
 [182.7423, 157.66]
 [154.0768, 161.2432]
 [111.0786, 222.1573]
 [85.99636, 211.4077]
 [157.66, 218.5741]
 [150.4936, 218.5741]
 [168.4095, 211.4077]
 [150.4936, 211.4077]
 [419.2322, 326.0695]
 [386.9836, 315.32]
 [340.4023, 250.8227]
